seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	900294	900322	29	*	X00021	84069	901877	910484	8608	+	1554	upstream	1554	PLEKHN1
chr1	900929	901048	120	*	X00022	84069	901877	910484	8608	+	828	upstream	828	PLEKHN1
chr1	901154	901158	5	*	X00023	84069	901877	910484	8608	+	718	upstream	718	PLEKHN1
chr1	1150759	1150811	53	*	X00055	7293	1146706	1149548	2843	-	1210	upstream	1210	TNFRSF4
chr1	1244950	1245054	105	*	X00086	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1246082	1246201	120	*	X00087	116983	1227764	1244989	17226	-	1092	upstream	1092	ACAP3
chr1	1246502	1246606	105	*	X00088	116983	1227764	1244989	17226	-	1512	upstream	1512	ACAP3
chr1	1246637	1246726	90	*	X00089	116983	1227764	1244989	17226	-	1647	upstream	1647	ACAP3
chr1	1335755	1335874	120	*	X00121	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1476195	1476208	14	*	X00143	339453	1470158	1475740	5583	-	454	upstream	454	TMEM240
chr1	3775748	3775796	49	*	X00258	9731	3728645	3773797	45153	-	1950	upstream	1950	CEP104
chr1	11247427	11247473	47	*	X00435	10218	11249346	11256038	6693	+	1872	upstream	1872	ANGPTL7
chr1	11722058	11722222	165	*	X00441	26270	11724150	11734409	10260	+	1927	upstream	1927	FBXO6
chr1	11900429	11900563	135	*	X00452	100379251	11900376	11907674	7299	+	0	inside	52	NPPA-AS1
chr1	11907794	11907898	105	*	X00455	4878	11905767	11907840	2074	-	0	overlapStart	0	NPPA
chr1	16061753	16061872	120	*	X00549	284723	16062809	16067884	5076	+	936	upstream	936	SLC25A34
chr1	16062068	16062187	120	*	X00550	284723	16062809	16067884	5076	+	621	upstream	621	SLC25A34
chr1	16174991	16175044	54	*	X00557	729614	16160710	16174642	13933	-	348	upstream	348	FLJ37453
chr1	16175300	16175449	150	*	X00558	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	19600835	19600954	120	*	X00661	246181	19592476	19600568	8093	-	266	upstream	266	AKR7L
